id,ru,zh
Q102356,бригада,旅
Q102538,рота,連
Q103510,бар,巴
Q1069725,страница,頁
Q1098,уран,鈾
Q11128762,ши,氏
Q11344137,право,右
Q11402,сила,力
Q11446,судно,船
Q11563,число,數
Q1165588,род,桿
Q1165897,вы,你
Q1238720,том,卷
Q12607037,Ён,연
Q12791,меч,劍
Q12826913,сезон,季
Q1366302,запись,列
Q138,король,王
Q141488,граф,图
Q1427085,округ,區
Q15290,добро,善
Q15332388,вниз,下
Q15927076,Бен,賁
Q16262105,Ин,인
Q16276974,Ю,休
Q165,море,海
Q16880606,Най,奈
Q16887380,группа,組
Q16938807,назад,后
Q169534,дивизия,師
Q17041598,Ян,양
Q171308,область,州
Q1814990,нет,否
Q185674,поле,场
Q1879813,решение,解
Q188497,корпус,军
Q1930547,Не,聶
Q19798642,значение,值
Q1980247,глава,章
Q1983062,эпизод,集
Q20018011,Со,소
Q20021675,О,오
Q20065407,Он,온
Q207063,отделение,班
Q2091629,величина,量
Q2233716,Ле,黎
Q228039,замок,锁
Q2369087,Звезда,星
Q2419461,Остров,島
Q245595,цикл,環
Q2532492,мост,桥
Q26000726,Я,谷
Q26438199,Хан,坂
Q26439566,Син,神
Q2662728,Бо,薄
Q27156868,Дон,唐
Q27178451,Така,高
Q272735,дерево,树
Q2800583,Она,她
Q283,вода,水
Q28575,графство,县
Q2963205,чи,尺
Q30093070,отдел,类
Q300942,фон,冯
Q3025161,ряд,系
Q3196,огонь,火
Q321102,след,跡
Q33971,лист,葉
Q35409,семейство,科
Q36732,царство,界
Q36904207,Су,苏
Q37017,лицо,臉
Q38348,тип,门
Q3899150,Оно,牠
Q403153,Ай,艾
Q4175521,Ен,雍
Q4195066,И,羿
Q421744,действие,幕
Q4292648,Ми,米
Q4328445,Ню,牛
Q43611274,Баку,獏
Q4464775,Ту,屠
Q47440906,де,德
Q50098,бел,貝
Q5151,месяц,月
Q52371,полк,團
Q53060,ворота,門
Q55091534,степень,幂
Q577,год,年
Q589868,Ким,金
Q600789,Джо,乔
Q6382533,батальон,营
Q643589,департамент,省
Q6452715,да,是
Q654875,ли,里
Q659,север,北
Q667,юг,南
Q669057,точка,點
Q679,запад,西
Q684,восток,東
Q7275,государство,国
Q730052,Они,鬼
Q7432,вид,种
Q748331,станица,村
Q7688,район,区
Q838611,шар,球
Q8502,гора,山
Q855179,Би,畢
Q860623,образ,像
Q892941,Бу,布
Q919107,произведение,积
Q93352,побережье,岸
Q9597,живот,腹
Q9614,язык,舌
