_id,en,en_alias,de,de_alias,count
P1034,main food source,eats,Hauptnahrungsquelle,Nahrungsquelle,326
P457,foundational text,establishing document,Gründungsvertrag,Gründungsdokument,50541
P1366,replaced by,succeeded by,ersetzt durch,aufgegangen in,86569
P740,location of formation,founded in,Gründungsort,Entstehungsort,44482
P1817,addressee,sent to,Adressat,Empfänger,49021
P58,screenwriter,screenplay by,Drehbuchautor,Drehbuchautorin,186866
P9072,derived from organism type,axon of origin,abgeleitet vom Organismentyp,Axon des Ursprungs,136745
P137,operator,operated by,Betreiber,Träger,538793
P1704,is pollinator of,pollinates,Bestäuber von,bestäubt,58
P8263,curriculum topics,syllabus includes,Lehrplanthemen,Lehrplan beinhaltet,7
P3173,offers view on,has view of,bietet Sicht auf,Sicht auf,905
P1165,home world,home planet,Heimatwelt,Heimatplanet,1648
P741,playing hand,tennis hand,Spielhand,tennis hand,6284
P3719,regulated by,regulator,reguliert von,Regler,475
P8839,hairstyle,haircut,Frisur,Haarschnitt,595
P178,developer,developed by,Entwickler,Entwicklerin,45750
P8546,recording location,recorded at,Ort der Aufnahme,Aufnahmeort,314
P5869,model item,best example,Beispielelement,Beispielwert,1041
P26,spouse,married to,Ehepartner(in),Ehefrau,731197
P7888,merged into,acquired by,fusioniert in,fusionierte in,2113
P7719,generalization of,generalizes,impliziert,verallgemeinert,37
P66,ancestral home,native place,Herkunftsort,angestammtes Dorf,1811
P4777,has boundary,border,hat als Grenze,Begrenzung des Subjekts,1156
P1322,dual to,dual of,dual zu,Dual von,351
P106,occupation,profession,Tätigkeit,Beschäftigung,9260065
P631,structural engineer,building engineer,Statiker,Tragwerksplaner,1781
P5588,invasive to,alien to,invasiv in,fremd zu,107
P37,official language,spoken in,Amtssprache,Landessprache,21472
P689,afflicts,affects,befällt,beeinflusst,4196
P38,currency,used money,Währung,Zahlungsmittel,2098
P183,endemic to,native to,endemisch in,heimisch,32262
P1382,partially coincident with,partially overlaps,teilweise übereinstimmend mit,übereinstimmend mit,17887
P4988,test method,methodology,Testmethode,Methodik,27
P2438,narrator,narrated by,Erzähler,erzählt von,2267
P282,writing system,alphabet,Schrift,Alphabet,611234
P291,place of publication,released in,Erscheinungsort,Publikationsort,271222
P20,place of death,died in,Sterbeort,gestorben in,1212693
P463,member of,membership,Mitglied von,ist Mitglied von,436936
P3680,statement supported by,according to,Aussage gestützt durch,behauptet von,58
P1455,list of works,bibliography,Werkliste,Literaturverzeichnis,1228
P1625,has melody,uses tune,verwendet eine Melodie aus,Melodie von,2139
P5940,plot expanded in,story continued in,Handlung wird erweitert in,Geschichte wird fortgesetzt in,295
P452,industry,sector,Branche,Branchen,104004
P4770,hydrated form of,is a hydrate of,ist eine Hydrat-Form von,ist ein Hydrat von,170
P119,place of burial,grave at,Begräbnisort,Friedhof,219963
P186,made from material,constructed out of,Material,gemacht aus,1295676
P6001,applies to people,valid to people,gilt für Leute,betrifft folgene Personen(Gruppe),16
P2872,visitor centre,tourist office,Touristeninformation,Touristeninformation,554
P7937,form of creative work,artistic form,künstlerische Form,Literaturform,342698
P6872,has written for,writer for,hat geschrieben für,schrieb für,3252
P1884,hair color,color of hair,Haarfarbe,Farbe der Haare,11981
P1050,medical condition,suffers from,Erkrankung,Krankheit,241962
P140,religion or world view,has religion,Konfession oder Weltanschauung,Religion,444622
P1434,takes place in fictional universe,set in fictional universe,beschreibt fiktives Universum,thematisiert fiktives Universum,15814
P828,has cause,result of,Ursache,verursacht durch,9257
P509,cause of death,died of,Todesursache,gestorben an,115623
P1639,pendant of,pendant to,Pendant,Gegenstück,2268
P1431,executive producer,showrunner,Produktionsleiter,Produktionsleiterin,8484
P111,measured physical quantity,measure of,gemessene physikalische Größe,Maßeinheit für,3611
P1013,criterion used,on the basis of,verwendetes Kriterium,Kriterium,69
P7469,orientation,direction,Orientierung,Richtung,374
P179,part of the series,issue of,Teil der Reihe oder Serie,Reihe,776430
P35,head of state,state headed by,Staatsoberhaupt,Präsident,1841
P2715,elected in,election,gewählt in,Wahl,183
P6530,has role in modeling,used to investigate,hat eine Funktion beim Modellieren,wird zur Erforschung genutzt,28
P516,powered by,power source,angetrieben von,Motor,11110
P1142,political ideology,political view,politische Weltanschauung,Ideologie,23809
P2827,flower color,color of the flower,Blütenfarbe,Farbe der Blüte,551
P2650,interested in,field of study,interessiert an,Interessengebiet,14947
P2159,computes solution to,is an algorithm for,löst,Problem,119
P2568,repealed by,revoked by,aufgehoben durch,aufgehoben von,33377
P4100,parliamentary group,party,Fraktion,Partei,1970
P495,country of origin,comes from,Ursprungsland,Produktionsland,1345801
P1056,product or material produced,producer of,Produkt,produziert,45764
P3602,candidacy in election,running in election,kandidiert(e) für,kandidiert für,158938
P6819,calligrapher,scribe,Kalligraph,Schreiber,291
P1308,officeholder,incumbent,Amtsinhaber,Amtsträger,17533
P750,distributed by,distributor,Distributor,Vertrieb,158589
P840,narrative location,takes place in,Handlungsort,spielt in,91176
P5832,political coalition,political alliance,Koalition,Parteienbund,155
P287,designed by,has designer,Designer,Gestalter,14516
P88,commissioned by,built for,Auftraggeber,beauftragt von,23429
P1011,excluding,except,ausgenommen,außer,6
P3833,diaspora,part of diaspora,Diaspora,Teil der Diaspora,273
P2567,amended by,altered by,geändert durch,verändert durch,40999
P1310,statement disputed by,opposed by,Aussage bestritten von,bestritten von,5
P1444,destination point,ending at,geografischer Endpunkt,Ziel der Reise,25554
P4330,contains,has contents,enthält,lagert,8269
P664,organizer,organized by,Veranstalter,Veranstalterin,89066
P177,crosses,over,Querung,Brücke über,23268
P800,notable work,known for,bedeutendes Werk,Œuvre,96985
P2546,sidekick of,helper of,Sidekick von,Helfer von,251
P27,country of citizenship,citizen of,Land der Staatsangehörigkeit,Nationalität,4426813
P2679,author of foreword,foreword by,Autor des Vorworts,Vorwort von,1543
P2283,uses,made use of,benutzt,verwendet,27605
P2652,partnership with,collaboration with,Geschäftsbeziehung zu,Partnerschaft zu,3328
P1534,end cause,ended by,Ursache der Beendigung,Grund für Ende,171
P2079,fabrication method,manufacturing method,Herstellungsmethode,Fertigungsverfahren,126162
P166,award received,winner of,Auszeichnung,Preis,1350612
P1537,contributing factor of,indirectly caused,Co-Faktor von,indirekt verursacht,324
P9234,supplement to,extends,Beilage,kostenlose Beilage,169
P8739,prohibits,does not permit,verbietet,nicht zulässt,16
P2318,debut participant,first appearance for,Debütteilnehmer,Debutteilnehmer,217
P2675,reply to,responds to,Antwort auf,antwortet auf,387
P275,copyright license,content license,Lizenz,lizenziert unter,161241
P1363,points/goal scored by,scorer,Punkt/Treffer erzielt durch,Torschütze,2441
P768,electoral district,constituency,Wahlbezirk,Wahlkreis,18986
P2860,cites work,bibliographic citation,zitiert,enthält Zitation von,285213488
P358,discography,recording catalog,Diskografie,Diskographie,11952
P84,architect,architecture firm,Architekt,Architektin,75317
P4733,produced sound,makes sound,erzeugtes Geräusch,erzeugter Klang,56
P2680,author of afterword,afterword by,Autor des Nachworts,Nachwort von,99
P4428,implementation of,implements,Implementierung von,implementiert,713
P1080,from narrative universe,from mythology,aus narrativem Universum,kommt vor in fiktivem Universum,31385
P461,opposite of,inverse of,Gegenteil von,ist Gegenteil von,23857
P9793,setlist,music performed,Setliste,Musik aufgeführt,140
P2632,place of detention,prison,Haftort,Gefängnis,145141
P1012,including,with,einschließlich,einschliesslich,59
P825,dedicated to,tribute to,Widmung an,gewidmet,50406
P1547,depends on software,has software dependency,abhängig von,dependency,18192
P159,headquarters location,HQ location,Hauptverwaltung,Sitz,433878
P272,production company,film studio,Produktionsgesellschaft,Produktionsfirma,119102
P488,chairperson,leader,Vorsitzender,Vorsitzende,31313
P69,educated at,studied at,besuchte Bildungseinrichtung,Hochschule,2269402
P189,location of discovery,found in,Fundort,Auffindungsort,26285
P180,depicts,portrays,Motiv,zeigt,614541
P197,adjacent station,neighbouring station,benachbarte Station,nächste Stationen,209079
P6364,official color,signature color,offizielle Farbe,Vereinsfarben,3090
P802,student,teacher of,Schüler,Student,62796
P1049,worshipped by,deity of,Gottheit von,Gottheit von,2380
P2175,medical condition treated,disease treated,zur Behandlung von benutzt,behandelt,6992
P1336,territory claimed by,sovereignty claimed by,Gebiet wird beansprucht von,Souveränität beansprucht von,1092
P156,followed by,succeded by,Nachfolger,Sequel,1118555
P1343,described by source,written about in,beschrieben in,Nachweis,2812764
P47,shares border with,bordered by,gemeinsame Grenze mit,grenzt an,605173
P39,position held,office held,öffentliches Amt oder Stellung,Amt,1456025
P688,encodes,codes for,codiert,kodiert,973826
P5051,towards,in the direction of,Endhaltestelle,in Richtung,64
P276,location,is in,Ort,Aufbewahrungsort,2553086
P1924,vaccine for,target disease,Impfstoff für,Zielkrankheit,203
P1706,together with,accompanied by,zusammen mit,Preis geteilt mit,72
P2578,studies,researches,studiert,erforscht,1954
P138,named after,eponym,benannt nach,Namensgeber,369576
P812,academic major,field of study,Hauptfach im Studium,Studienfach,2838
P8058,symbol of,emblem of,Symbol von,Logo von,49
P4584,first appearance,debut,erstes Erscheinen,erster Auftritt,6985
P551,residence,lives in,Wohnsitz,Wohnort,289158
P641,sport,plays,Sportart,spielt,1900495
P1777,manner of,style of,nach Art von,Nachahmer von,9
P1889,different from,is not,verschieden von,owl:differentFrom,801466
P2396,image of function,function image,Bildmenge,Funktionsbild,47
P467,legislated by,passed by,verabschiedet durch,beschlossen von,46724
P3349,designed to carry,carries,transportiert,bestimmt zum Transport von,166
P1398,structure replaces,replacement building,Bauwerk ersetzt,Vorgängerbauwerk,1470
P770,cause of destruction,destroyed by,Grund der Zerstörung,zerstört durch,1380
P2821,by-product,secondary product,Nebenprodukt,Sekundärprodukt,49
P25,mother,mum,Mutter,Mama,601247
P157,killed by,murdered by,getötet durch,Mörder,3441
P466,occupant,inhabitant,Bewohner/Nutzer,Inhaber,34052
P991,successful candidate,election won by,erfolgreicher Kandidat,Wahlsieger,23167
P8324,funder,donor,Stifter,gestiftet von,1904
P3342,significant person,notable person,relevante Person,signifikante Person,15439
P2378,issued by,assigned by,ausgestellt von,vergeben durch,1797
P1071,location of creation,assembly location,Herstellungsort,Produktionsort,79724
P4424,mandates,requires,benötigt,setzt voraus,149
P112,founded by,established by,Gründer,Firmengründer,73176
P170,creator,created by,Urheber,Künstler,967850
P108,employer,works for,Arbeitgeber,arbeitet an,1618361
P1365,replaces,succeeds,ersetzt,löst ab,85769
P22,father,dad,Vater,Papa,952062
P1387,political alignment,political position,politische Ausrichtung,politische Stellung,4250
P355,subsidiary,parent company of,nachgeordnete Organisation,Tochterunternehmen,93001
P6,head of government,president,Leiter der Regierung oder Verwaltung,Ministerpräsident,37180
P2541,operating area,area of operations,Versorgungsgebiet,Einzugsbereich,17829
P1344,participant in,took part in,Teilnehmer an,Teilnehmer bei,688227
P54,member of sports team,plays for,Mitglied von Sportteam oder -verein,Sportmannschaft,1546197
P31,instance of,is a,ist ein(e),ist Instanz von,103114325
P185,doctoral student,doctoral candidate,Doktorand,Doktoranden,297261
