id,zh,ja,zh_negated,ja_negated,count
P1034,主要食物來源,主な食料源,不是 主要食物來源,いいえ 主な食料源,326
P457,成立文书,設立文,不是 成立文书,いいえ 設立文,50541
P532,船籍港,船籍港,不是 船籍港,いいえ 船籍港,25629
P740,成立地點,結成場所,不是 成立地點,いいえ 結成場所,44482
P1817,收件人,宛名,不是 收件人,いいえ 宛名,49021
P122,政体,政治体制,不是 政体,いいえ 政治体制,2152
P58,編劇,脚本,不是 編劇,いいえ 脚本,186866
P1716,品牌,ブランド,不是 品牌,いいえ ブランド,15374
P1165,來源星球,故郷,不是 來源星球,いいえ 故郷,1648
P4043,模拟,エミュレート対象,不是 模拟,いいえ エミュレート対象,345
P6889,微架構,マイクロアーキテクチャ,不是 微架構,いいえ マイクロアーキテクチャ,198
P8839,发型,髪型,不是 发型,いいえ 髪型,595
P7167,没有效果,以下は無効,不是 没有效果,いいえ 以下は無効,30
P1951,投資者,投資家,不是 投資者,いいえ 投資家,6294
P2554,美術指導,プロダクションデザイナー,不是 美術指導,いいえ プロダクションデザイナー,13508
P66,籍贯,祖籍,不是 籍贯,いいえ 祖籍,1811
P7163,销售商品,取扱商品,不是 销售商品,いいえ 取扱商品,299
P3275,分镜师,絵コンテ,不是 分镜师,いいえ 絵コンテ,697
P7938,所属选区,関連する選挙区,不是 所属选区,いいえ 関連する選挙区,62894
P106,职业,職業,不是 职业,いいえ 職業,9260065
P636,给药途径,投与経路,不是 给药途径,いいえ 投与経路,3001
P85,颂歌,アンセム,不是 颂歌,いいえ アンセム,1691
P2841,发病年龄,発症年齢,不是 发病年龄,いいえ 発症年齢,7
P1811,剧集列表,エピソードの一覧,不是 剧集列表,いいえ エピソードの一覧,4553
P631,結構工程師,構造設計,不是 結構工程師,いいえ 構造設計,1781
P1158,降落地點,着地点,不是 降落地點,いいえ 着地点,502
P103,母语,母語,不是 母语,いいえ 母語,287778
P37,官方语言,公用語,不是 官方语言,いいえ 公用語,21472
P6563,關鍵績效指標,KPI,不是 關鍵績效指標,いいえ KPI,13
P1435,遗产名称,遺産保護指定,不是 遗产名称,いいえ 遺産保護指定,2062512
P689,影响,障害部位,不是 影响,いいえ 障害部位,4196
P38,货币,通貨,不是 货币,いいえ 通貨,2098
P183,特有分布,生息域,不是 特有分布,いいえ 生息域,32262
P163,旗帜,旗,不是 旗帜,いいえ 旗,6539
P6902,年号,元号,不是 年号,いいえ 元号,345
P2438,敘事者,ナレーター,不是 敘事者,いいえ ナレーター,2267
P282,書寫系統,文字体系,不是 書寫系統,いいえ 文字体系,611234
P291,出版地,出版地,不是 出版地,いいえ 出版地,271222
P6275,版權代表人,著作権代表者,不是 版權代表人,いいえ 著作権代表者,81054
P20,死亡地,死亡地,不是 死亡地,いいえ 死亡地,1212693
P3680,主张此叙述者,この主張の支持者,不是 主张此叙述者,いいえ この主張の支持者,58
P5202,改編者,翻案,不是 改編者,いいえ 翻案,3430
P2184,話題历史,主題の歴史,不是 話題历史,いいえ 主題の歴史,2171
P450,航天任务,宇宙飛行士のミッション,不是 航天任务,いいえ 宇宙飛行士のミッション,1836
P1455,作品列表,作品集,不是 作品列表,いいえ 作品集,1228
P3712,計畫目標,計画や行為の目的,不是 計畫目標,いいえ 計画や行為の目的,1632
P2361,线上服务,オンラインサービス,不是 线上服务,いいえ オンラインサービス,48
P2882,降级,勝利した対戦相手,不是 降级,いいえ 勝利した対戦相手,2906
P2634,模特,作品モデル,不是 模特,いいえ 作品モデル,280
P1990,饲养品种,飼育生物,不是 饲养品种,いいえ 飼育生物,7902
P136,類型,ジャンル,不是 類型,いいえ ジャンル,1527395
P452,产业,業種,不是 产业,いいえ 業種,104004
P1462,標準組織,標準化団体,不是 標準組織,いいえ 標準化団体,2799
P449,首播电视台,放送当初のネットワーク,不是 首播电视台,いいえ 放送当初のネットワーク,93087
P5800,故事角色,作中の役割,不是 故事角色,いいえ 作中の役割,4591
P517,相互作用,相互作用,不是 相互作用,いいえ 相互作用,291
P7937,作品形式,創作物の形式,不是 作品形式,いいえ 創作物の形式,342698
P1884,髮色,髪の色,不是 髮色,いいえ 髪の色,11981
P3018,所在保护区,位置する保護区,不是 所在保护区,いいえ 位置する保護区,36798
P1686,得獎作品,対象作品,不是 得獎作品,いいえ 対象作品,50
P4241,确切时间,該当時期,不是 确切时间,いいえ 該当時期,0
P3975,总书记,総書記,不是 总书记,いいえ 総書記,1431
P1050,医疗状况,医学的状況,不是 医疗状况,いいえ 医学的状況,241962
P2286,动脉供应,動脈支配,不是 动脉供应,いいえ 動脈支配,288
P140,信仰,宗教,不是 信仰,いいえ 宗教,444622
P59,星座,星座,不是 星座,いいえ 星座,7371215
P1434,发生在虚构的宇宙中,舞台の架空世界,不是 发生在虚构的宇宙中,いいえ 舞台の架空世界,15814
P3912,报纸版式,新聞の形式,不是 报纸版式,いいえ 新聞の形式,4083
P1923,參與隊伍,参加チーム,不是 參與隊伍,いいえ 参加チーム,148066
P1546,座右铭,標語,不是 座右铭,いいえ 標語,509
P149,建築風格,建築様式,不是 建築風格,いいえ 建築様式,124958
P509,死因,死因,不是 死因,いいえ 死因,115623
P111,以此物理量测量,測られる物理量,不是 以此物理量测量,いいえ 測られる物理量,3611
P1013,所用標準,使用した基準,不是 所用標準,いいえ 使用した基準,69
P8646,资料片,以下の拡張パック,不是 资料片,いいえ 以下の拡張パック,1507
P5998,分流,派川,不是 分流,いいえ 派川,119
P4968,相關資格,関連する資格,不是 相關資格,いいえ 関連する資格,55
P680,分子功能,分子機能,不是 分子功能,いいえ 分子機能,1210165
P35,国家元首,元首,不是 国家元首,いいえ 元首,1841
P2715,當選選舉,選出選挙名,不是 當選選舉,いいえ 選出選挙名,183
P516,发动机,動力装置・エンジン,不是 发动机,いいえ 動力装置・エンジン,11110
P1142,政治意识形态,政治イデオロギー,不是 政治意识形态,いいえ 政治イデオロギー,23809
P2700,协议,プロトコル,不是 协议,いいえ プロトコル,231
P2827,花色,花の色,不是 花色,いいえ 花の色,551
P2962,棋士称号,チェスのタイトル,不是 棋士称号,いいえ チェスのタイトル,31178
P2568,取代者,以下の文書によって廃止,不是 取代者,いいえ 以下の文書によって廃止,33377
P823,演讲者,講演者,不是 演讲者,いいえ 講演者,5293
P4100,黨團,会派,不是 黨團,いいえ 会派,1970
P7376,被穿著,着用者,不是 被穿著,いいえ 着用者,182
P495,原產地,本国,不是 原產地,いいえ 本国,1345801
P1056,产品,生産品目,不是 产品,いいえ 生産品目,45764
P2348,時間週期,時代,不是 時間週期,いいえ 時代,202625
P3602,競選,立候補選挙,不是 競選,いいえ 立候補選挙,158938
P277,编程语言,プログラミング言語,不是 编程语言,いいえ プログラミング言語,12192
P1308,公职人员,在職者,不是 公职人员,いいえ 在職者,17533
P750,經銷商,配給元,不是 經銷商,いいえ 配給元,158589
P453,人物角色,配役,不是 人物角色,いいえ 配役,506
P840,敘事發生地,物語の舞台,不是 敘事發生地,いいえ 物語の舞台,91176
P5832,政治聯盟,政党連合,不是 政治聯盟,いいえ 政党連合,155
P88,委托人,依頼者,不是 委托人,いいえ 依頼者,23429
P3092,电影摄制组成员,スタッフ,不是 电影摄制组成员,いいえ スタッフ,4973
P1423,模板主话题,テンプレートの中心記事,不是 模板主话题,いいえ テンプレートの中心記事,21545
P1011,排除,以下を除く,不是 排除,いいえ 以下を除く,6
P1995,醫學專科,診療科,不是 醫學專科,いいえ 診療科,10263
P415,廣播節目類型,ラジオ・フォーマット,不是 廣播節目類型,いいえ ラジオ・フォーマット,3611
P654,方位,方位,不是 方位,いいえ 方位,25
P1310,对此声明有异议者,この主張の反対者,不是 对此声明有异议者,いいえ この主張の反対者,5
P1444,行程目的地,目的地,不是 行程目的地,いいえ 目的地,25554
P5353,學區,学区,不是 學區,いいえ 学区,9780
P4330,包含,内容,不是 包含,いいえ 内容,8269
P5095,斷層,断層,不是 斷層,いいえ 断層,20
P118,所属联盟,リーグ,不是 所属联盟,いいえ リーグ,192730
P2633,主题的地理学,主題の地理,不是 主题的地理学,いいえ 主題の地理,726
P800,主要作品,主要作品,不是 主要作品,いいえ 主要作品,96985
P1775,追隨對象,以下のフォロワー,不是 追隨對象,いいえ 以下のフォロワー,22
P1606,为其天然宿主,以下の自然宿主,不是 为其天然宿主,いいえ 以下の自然宿主,17
P1264,有效期,あてはまる期間,不是 有效期,いいえ あてはまる期間,219
P27,國籍,国籍,不是 國籍,いいえ 国籍,4426813
P3274,內容遞送者,コンテンツの提供元,不是 內容遞送者,いいえ コンテンツの提供元,6
P2679,序言作者,まえがきの筆者,不是 序言作者,いいえ まえがきの筆者,1543
P913,符號,表記法,不是 符號,いいえ 表記法,214
P1909,副作用,副作用,不是 副作用,いいえ 副作用,39
P2079,制作方法,制作技法,不是 制作方法,いいえ 制作技法,126162
P8852,脸毛,髭,不是 脸毛,いいえ 髭,365
P1537,是该对象的影响因素,以下の寄与因子,不是 是该对象的影响因素,いいえ 以下の寄与因子,324
P1072,可讀取文件格式,読み込み可能なファイル形式,不是 可讀取文件格式,いいえ 読み込み可能なファイル形式,8852
P6099,临床试验期段,臨床試験の段階,不是 临床试验期段,いいえ 臨床試験の段階,177424
P6259,曆元,元期,不是 曆元,いいえ 元期,8076517
P469,流经湖泊,関係する湖,不是 流经湖泊,いいえ 関係する湖,3384
