id,en,de,fr,es
Q1761084,length,Länge,longueur,longitud
Q1643175,Committee,Committee,Comité,Comité
Q1409462,fire,Feuer,feu,fuego
Q2085066,land,Boden,terre,tierra
Q17322994,load,Last,charge,carga
Q768396,Programa,Programa,Programme,Programa
Q30093584,field,Feld,champ,campo
Q25839995,talent,Talent,talent,talento
Q10861678,order,Ordnung,ordre,orden
Q2088403,house,Haus,Maison,casa
Q914681,prime,Prime,prime,prima
Q2864132,Association,Association,Association,Asociación
Q225197,Bank,Bank,banque,Bank
Q656784,rank,Rang,rang,rango
Q4233803,king,König,roi,rey
Q304157,Administration,Administration,Administration,Administración
Q1329910,view,Sicht,vue,vista
Q2518727,defense,Verteidigung,défense,defensa
Q2917506,series,Serie,série,Serie
Q1574285,hand,Hand,main,mano
Q232576,Service,Service,Service,Servicio
Q191169,center,Zentrum,centre,Centro
Q981211,Sebastian,Sebastian,Sebastian,Sebastián
Q7831478,track,Track,piste,pista
Q638982,moment,Moment,moment,momento
Q810214,base,Basis,base,base
Q24759380,remain,Pro,rester,permanecer
Q858321,port,Port,port,puerto
Q663143,production,Produktion,Production,producción
Q185553,phase,Phase,phase,fase
Q3399648,position,Position,position,posición
Q579160,Europe,Europa,Europe,Europa
Q14916053,number,Nummer,numéro,número
Q18193,form,Klasse,classe,clase
Q2360918,piece,Stück,pièce,pieza
Q29346471,season,Saison,saison,temporada
Q669057,dot,Punkt,point,punto
Q919107,product,Produkt,produit,producto
Q11868407,Ice,Eis,Is,Is
Q1089123,Mark,Mark,marc,marco
Q232196,Montreal,Montreal,Montréal,Montreal
Q868952,Dia,Dia,Dia,Día
Q142659,Berlin,Berlin,Berlin,Berlín
Q1415372,path,Weg,chaîne,camino
Q18496,Margaret,Margaret,Margaret,Margarita
Q446123,Paulus,Paulus,Paul,Paulo
Q23063339,Peter,Peter,Pierre,Peter
Q2912517,value,Wert,valeur,valor
Q1136266,Alexander,Alexander,Alexandre,Alexander
Q3846728,sea,Meer,mer,mar
Q778379,expression,Ausdruck,expression,expresión
Q30230067,possibly,möglich,possible,posible
Q58309587,Rafael,Raphael,Rafael,Rafael
Q3908677,gate,Tor,porte,puerta
Q1686000,party,Partei,partie,parte
Q4544684,search,Suche,recherche,búsqueda
Q255453,Marcus,Marcus,Marcus,Marcos
Q312861,Philip,Philipp,Philippe,Felipe
Q3778856,William,Wilhelm,William,William
Q4742716,America,America,America,América
Q1514415,trend,Trend,tendance,tendencia
Q2528683,function,Funktion,fonction,función
Q1596487,Heinrich,Heinrich,Henri,Heinrich
