_id,label,alias,label_de,alias_de
P1034,main food source,eats,Hauptnahrungsquelle,isst
P457,foundational text,establishing document,Grundtext,Gründungsdokument
P1366,replaced by,succeeded by,ersetzt durch,gefolgt von
P740,location of formation,founded in,Ort der Entstehung,gegründet in
P1817,addressee,sent to,Adressat,gesendet an
P58,screenwriter,screenplay by,Drehbuchautor,Drehbuch von
P8329,principal investigator,chief investigator,Hauptermittler,Hauptermittler
P9072,derived from organism type,axon of origin,abgeleitet vom Organismustyp,Axon des Ursprungs
P137,operator,operated by,Operator,gesteuert von
P3085,qualifies for event,league this event qualifies for,qualifiziert sich für die Veranstaltung,"Liga, für die sich dieses Event qualifiziert"
P1704,is pollinator of,pollinates,ist Bestäuber von,bestäubt
P8263,curriculum topics,syllabus includes,Lehrplanthemen,Lehrplan beinhaltet
P3173,offers view on,has view of,bietet Aussicht auf,Aussicht hat
P1465,category for people who died here,category for place of death,"Kategorie für Menschen, die hier gestorben sind",Kategorie für den Sterbeort
P1165,home world,home planet,Heimatwelt,Heimatplanet
P741,playing hand,tennis hand,spielende Hand,tennis hand
P3719,regulated by,regulator,reguliert von,Regler
P8839,hairstyle,haircut,Frisur,Haarschnitt
P178,developer,developed by,Entwickler,entwickelt von
P8546,recording location,recorded at,Aufnahmeort,aufgenommen bei
P5869,model item,best example,Modell Artikel,bestes Beispiel
P26,spouse,married to,Ehepartner,verheiratet mit
P7888,merged into,acquired by,verschmolzen zu,erworben von
P7719,generalization of,generalizes,Verallgemeinerung von,verallgemeinert
P66,ancestral home,native place,Stammsitz,Geburtsort
P4777,has boundary,border,Grenze hat,Rand
P1322,dual to,dual of,dual zu,Dual von
P106,occupation,profession,Besetzung,Beruf
P769,significant drug interaction,pharmacological interaction,signifikante Arzneimittelwechselwirkung,pharmakologische Interaktion
P631,structural engineer,building engineer,Statiker,Bauingenieur
P5588,invasive to,alien to,invasiv zu,fremd zu
P4608,scenographer,set designer,Szenograf,set designer
P103,native language,mother tongue,Muttersprache,Muttersprache
P37,official language,spoken in,offizielle Sprache,eingesprochen
P689,afflicts,affects,betrübt,beeinflusst
P38,currency,used money,Währung,gebrauchtes Geld
P183,endemic to,native to,endemisch zu,heimisch
P4805,make-up artist,visagist,Maskenbildner,Maskenbildner
P1382,partially coincident with,partially overlaps,teilweise übereinstimmend mit,teilweise überlappt
P4988,test method,methodology,Testmethode,Methodik
P2438,narrator,narrated by,Erzähler,Erzählt von
P282,writing system,alphabet,Schreibsystem,alphabet
P291,place of publication,released in,Ort der Veröffentlichung,veröffentlicht in
P20,place of death,died in,Ort des Todes,starb in
P463,member of,membership,Mitglied von,Mitgliedschaft
P3680,statement supported by,according to,Aussage unterstützt durch,entsprechend
