id,en,ja
Q230634,Asia,アジア
Q383842,Africa,アフリカ
Q4742725,America,アメリカ
Q1572339,Album,アルバム
Q233567,Italia,イタリア
Q1297532,Event,イベント
Q37560697,In,イン
Q668,India,インド
Q364019,Woo,ウ
Q8003805,William,ウィリアム
Q217485,Ka,カ
Q1725788,moth,ガ
Q1555305,Gus,ガス
Q1026787,California,カリフォルニア
Q5616715,Guitar,ギター
Q90037246,Kino,きの
Q911731,Christus,キリスト
Q69523637,Ku,ク
Q182949,Club,クラブ
Q2085069,group,グループ
Q69523527,Ke,ケ
Q55524865,game,ゲーム
Q16870350,Guest,ゲスト
Q16256197,Go,コ
Q5178170,course,コース
Q232576,Service,サービス
Q1199068,Site,サイト
Q80422,Soccer,サッカー
Q989958,Sana,さな
Q9284765,Sun,サン
Q3464673,Season,シーズン
Q5535907,George,ジョージ
Q108415629,John,ジョン
Q2917506,series,シリーズ
Q775079,single,シングル
Q17152186,Soo,ス
Q2300963,Zu,ズ
Q2905661,Spain,スペイン
Q867785,Special,スペシャル
Q295996,Sport,スポーツ
Q37090678,Se,セ
Q2087867,Center,センター
Q20085826,Seo,ソ
Q37235714,Da,ダ
Q42732,Thai,タイ
Q69511452,Dam,ダム
Q3516688,Team,チーム
Q69523601,Te,テ
Q69523565,De,デ
Q82604,design,デザイン
Q179322,Digital,デジタル
Q1181693,debut,デビュー
Q289,television,テレビ
Q20083697,Do,ド
Q183,Germany,ドイツ
Q224190,Drama,ドラマ
Q14083,dollar,ドル
Q231000,News,ニュース
Q69523552,Nu,ヌ
Q69512178,No,ノ
Q2059058,Ha,ハ
Q69511065,Ba,バ
Q2104719,Pas,パ
Q1224135,bass,バス
Q984459,Paris,パリ
Q17151875,Hui,ヒ
Q69512477,Bi,ビ
Q318485,Rain,ピ
Q257022,Bill,ビル
Q69514020,Hu,フ
Q97420727,Boo,ブ
Q300942,von,フォン
Q49644,France,フランス
Q27887,Producer,プロデューサー
Q2529757,vocal,ボーカル
Q226047,Hall,ホール
Q1002828,Paul,ポール
Q69512250,Ma,マ
Q3307970,Michael,マイケル
Q20065396,Mi,ミ
Q69523508,Me,メ
Q4819219,Model,モデル
Q69511607,Ya,ヤ
Q69511315,Yo,ヨ
Q218640,Europa,ヨーロッパ
Q94946772,la,ラ
Q165714,Live,ライブ
Q660818,league,リーグ
Q96440038,Le,ル
Q69511162,Re,レ
Q408620,Regular,レギュラー
Q86740465,Lo,ロ゚
Q384054,Roma,ローマ
Q3708651,Russia,ロシア
Q11350552,Robert,ロバート
Q107689982,Kami,上
Q15332388,down,下
Q54050,hill,丘
Q27323218,Gan,丸
Q27181141,Tan,丹
Q19606400,Yoon,尹
Q8495,milk,乳
Q105640438,Yun,云
Q877261,Pig,亥
Q215627,person,人
Q1196421,Ren,仁
Q630830,era,代
Q26437594,Tomo,伴
Q26447214,Den,佃
Q170494,body,体
Q40161164,Ga,何
Q1322275,She,佘
Q10886862,Tong,佟
Q5189153,value,値
Q860623,image,像
