id,en,en_negated,de,de_negated,fr,fr_negated,es,es_negated,ru,ja,zh,ru_negated,ja_negated,zh_negated,count
P19,was born in,was not born in,wurde geboren in,wurde nicht geboren,est né en,n'est pas né en,nació en,no nació en,родился в,で生まれた,出生於,не родился в,で生まれていませんでした,不是出生在,3035164
P20,died in,did not die in,starb in,starb nicht ein,mort en,n'est pas mort en,murio en,no murió en,умер в,で死亡しました,死在,не умер в,で死ななかった,沒有死在,1212693
P279,is a subclass of,is not a subclass of,ist eine Unterklasse von,ist keine Unterklasse von,est une sous-classe de,n'est pas une sous-classe de,es una subclase de,no es una subclase de,является подклассом,のサブクラスです,是一個子類,не является подклассом,のサブクラスではありません,不是的子類,3285011
P166,was awarded the,was not awarded the,ausgezeichnet wurde,wurde nicht verliehen,s'est vu décerner le,n'a pas obtenu le,fue galardonado con el,no se le concedió el,был награжден,授与されました,被授予,не был награжден,授与されませんでした,沒有被授予,1350612
P449,was originally aired on,was not originally aired on,wurde ursprünglich ausgestrahlt,wurde ursprünglich nicht ausgestrahlt,a été diffusé à l'origine sur,n'a pas été diffusé à l'origine sur,se emitió originalmente en,no se emitió originalmente en,изначально транслировался на,もともと放映された,最初播出於,изначально не транслировался,もともと放送されていませんでした,最初沒有播出,93087
P69,was educated at the University of,was not educated at the University of,wurde an der Universität von ausgebildet,wurde nicht an der Universität von erzogen,a fait ses études à l'Université de,n'a pas fait ses études à l'Université de,fue educado en la Universidad de,No fue educado en la Universidad de,получил образование в университете г.,大学で教育を受けました,在大學接受教育,не получил образования в университете г.,大学で教育を受けていませんでした,沒有在大學接受教育,2269402
P47,shares border with,does not share border with,teilt die Grenze mit,grenzt nicht an,partage une frontière avec,ne partage pas de frontière avec,comparte frontera con,no comparte frontera con,граничит с,と国境を接する,與,не имеет границы с,と国境を共有していません,不共享邊界,605173
P138,is named after,is not named after,ist benannt nach,ist nicht nach benannt,est nommé d'après,n'est pas nommé d'après,lleva el nombre de,no lleva el nombre,назван в честь,にちなんで名付けられました,以,не назван в честь,にちなんで名付けられていません,不是以名字命名的,369576
P54,plays with,does not play with,spielt mit,spielt nicht mit,joue avec,ne joue pas avec,juega con,no juega con,играет с,で遊ぶ,玩,не играет с,で遊んでいない,不玩,1546197
P463,is a member of,is not a member of,ist Mitglied bei,ist kein Mitglied von,est membre de,n'est pas membre de,es miembro de,no es miembro de,является членом,のメンバーです,是成員,не является членом,のメンバーではありません,不是,436936
