id,en,ja,count
P1034,main food source,主な食料源,326
P457,foundational text,設立文,50541
P8004,ordered by,指示者,12
P532,port of registry,船籍港,25629
P740,location of formation,結成場所,44482
P1817,addressee,宛名,49021
P122,basic form of government,政治体制,2152
P58,screenwriter,脚本,186866
P2597,Gram staining,グラム染色,14932
P3085,qualifies for event,出場資格判断イベント,2803
P1704,is pollinator of,以下の送粉者,58
P1716,brand,ブランド,15374
P3173,offers view on,眺望できるもの,905
P1165,home world,故郷,1648
P741,playing hand,ラケットの持ち手,6284
P4043,emulates,エミュレート対象,345
P6889,microarchitecture,マイクロアーキテクチャ,198
P3719,regulated by,規制当局,475
P8839,hairstyle,髪型,595
P534,streak color,条痕色,680
P7167,does not have effect,以下は無効,30
P1951,investor,投資家,6294
P1035,honorific suffix,敬称としての接尾辞,773
P2554,production designer,プロダクションデザイナー,13508
P2358,Roman praenomen,古代ローマのプラエノーメン,6468
P66,ancestral home,祖籍,1811
P8006,footedness,利き足,514
P2853,electrical plug type,コンセントの種類,531
P7163,typically sells,取扱商品,299
P3275,storyboard artist,絵コンテ,697
P7938,associated electoral district,関連する選挙区,62894
P106,occupation,職業,9260065
P636,route of administration,投与経路,3001
P85,anthem,アンセム,1691
P2841,age of onset,発症年齢,7
P1811,list of episodes,エピソードの一覧,4553
P10067,train melody,発車メロディ,14
P631,structural engineer,構造設計,1781
P5588,invasive to,侵入先,107
P1158,location of landing,着地点,502
P103,native language,母語,287778
P5995,kit supplier,キットサプライヤー,293
P37,official language,公用語,21472
P1435,heritage designation,遺産保護指定,2062512
P689,afflicts,障害部位,4196
P568,overlies,下位層,1555
P2453,nominee,候補者,164
P9813,container,容器,60
P38,currency,通貨,2098
P183,endemic to,生息域,32262
P163,flag,旗,6539
P556,crystal system,結晶系,5448
P4988,test method,試験方法,27
P6948,video system,ビデオシステム,7
P2992,software quality assurance,ソフトウェア品質保証,447
P2438,narrator,ナレーター,2267
P3491,muscle insertion,筋停止部,57
P282,writing system,文字体系,611234
P291,place of publication,出版地,271222
P2548,strand orientation,DNA鎖の向き,1035000
P6275,copyright representative,著作権代表者,81054
P20,place of death,死亡地,1212693
P3680,statement supported by,この主張の支持者,58
P5202,adapted by,翻案,3430
P2184,history of topic,主題の歴史,2171
P3027,open period from,営業開始日,16
P411,canonization status,列聖の段階,11488
P450,astronaut mission,宇宙飛行士のミッション,1836
P2813,house publication,社内報,1120
P1455,list of works,作品集,1228
P6942,animator,アニメーター,4025
P3712,objective of project or action,計画や行為の目的,1632
P7406,style of karate,空手の流派,30
P2545,bowling style,ボウリング・スタイル,1371
P8822,epithet,形容語句,26
P3764,pole position,ポールポジション,4769
P2361,online service,オンラインサービス,48
P5126,assistant director,助監督,559
P2882,relegated,勝利した対戦相手,2906
P2634,sitter,作品モデル,280
P1625,has melody,引用された旋律,2139
P5096,member of the crew of,以下の乗組員,1386
P1990,species kept,飼育生物,7902
P9972,illustrative content,実例となる内容,61
P6954,online access status,アクセス状態,5602
P136,genre,ジャンル,1527395
P452,industry,業種,104004
P1462,standards body,標準化団体,2799
P449,original broadcaster,放送当初のネットワーク,93087
P6001,applies to people,あてはまる人々,16
P2872,visitor centre,ビジターセンター,554
P5800,narrative role,作中の役割,4591
P517,interaction,相互作用,291
P7937,form of creative work,創作物の形式,342698
P6872,has written for,寄稿先,3252
P1884,hair color,髪の色,11981
P3018,located in protected area,位置する保護区,36798
P483,recorded at studio or venue,録音場所,5412
P1686,for work,対象作品,50
P4241,refine date,該当時期,0
P3975,secretary general,総書記,1431
P1050,medical condition,医学的状況,241962
P2286,arterial supply,動脈支配,288
P140,religion or world view,宗教,444622
P59,constellation,星座,7371215
P8138,located in the statistical territorial entity,位置する統計区画,31986
P1434,takes place in fictional universe,舞台の架空世界,15814
P3912,newspaper format,新聞の形式,4083
P1923,participating team,参加チーム,148066
P7867,category for maps,当地の地図のカテゴリ,15839
P8933,category for the view from the item,眺望のカテゴリ,6902
P930,type of electrification,電化方式,5562
P1546,motto,標語,509
P1792,category of associated people,当地の人々のカテゴリ,29630
P149,architectural style,建築様式,124958
P1389,product certification,製品認証基準,8990
P1656,unveiled by,除幕者,444
P509,cause of death,死因,115623
P967,guest of honor,来賓,803
P3026,closed on,休業日,136
P3081,damaged,半壊,86
P6271,demonym of,以下の住人の呼称,2640
P111,measured physical quantity,測られる物理量,3611
P1013,criterion used,使用した基準,69
P8646,expansion of,以下の拡張パック,1507
P5998,distributary,派川,119
P538,fracturing,断口,11
P4968,relevant qualification,関連する資格,55
P680,molecular function,分子機能,1210165
P35,head of state,元首,1841
P2715,elected in,選出選挙名,183
P516,powered by,動力装置・エンジン,11110
P1142,political ideology,政治イデオロギー,23809
P7095,end grade,最終学年,3729
P8345,media franchise,メディア・フランチャイズ,28359
P2700,protocol,プロトコル,231
P2827,flower color,花の色,551
P2962,title of chess person,チェスのタイトル,31178
P9241,demographics of topic,主題の人口統計,1155
P2159,computes solution to,解決可能問題,119
P2568,repealed by,以下の文書によって廃止,33377
P823,speaker,講演者,5293
P4100,parliamentary group,会派,1970
P7376,worn by,着用者,182
P495,country of origin,本国,1345801
P1056,product or material produced,生産品目,45764
P5053,fastest lap,最速周回者,2721
P8115,eligible recipient,受賞対象,68
P2348,time period,時代,202625
P3602,candidacy in election,立候補選挙,158938
P3033,package management system,パッケージ管理システム,192
P277,programming language,プログラミング言語,12192
P1308,officeholder,在職者,17533
P750,distributed by,配給元,158589
P4147,conjugate acid,共役酸,367
P453,character role,配役,506
P840,narrative location,物語の舞台,91176
P5832,political coalition,政党連合,155
P3103,has tense,時制,145
P5134,evaluation of,以下の評価,26
P88,commissioned by,依頼者,23429
P3189,innervated by,支配神経,293
P1885,cathedral,聖堂,2133
P3092,film crew member,スタッフ,4973
P427,taxonomic type,タイプ属・種,28515
P1011,excluding,以下を除く,6
P1995,health specialty,診療科,10263
P654,direction relative to location,方位,25
P1310,statement disputed by,この主張の反対者,5
P1444,destination point,目的地,25554
P5353,school district,学区,9780
P7174,school class,学校のクラス,5
P4330,contains,内容,8269
P803,professorship,教授職,12404
P5095,fault,断層,20
P118,league,リーグ,192730
P2633,geography of topic,主題の地理,726
P800,notable work,主要作品,96985
P1775,follower of,以下のフォロワー,22
P1606,natural reservoir of,以下の自然宿主,17
P1264,valid in period,あてはまる期間,219
P4774,biological phase,生物学的時期,21
P27,country of citizenship,国籍,4426813
P1660,has index case,初発症例,28
P3274,content deliverer,コンテンツの提供元,6
P2679,author of foreword,まえがきの筆者,1543
P913,notation,表記法,214
P1909,side effect,副作用,39
P413,position played on team / speciality,ポジション,401425
P1534,end cause,終了理由,171
P2079,fabrication method,制作技法,126162
P8464,content partnership category,このパートナーシップのカテゴリ,398
P1605,has natural reservoir,自然宿主,443
P8852,facial hair,髭,365
P1537,contributing factor of,以下の寄与因子,324
P6099,clinical trial phase,臨床試験の段階,177424
P6259,epoch,元期,8076517
P2881,promoted,選抜された対戦相手,1228
P469,lakes on river,関係する湖,3384
P542,officially opened by,公式開会者,1047
P8739,prohibits,以下を禁止する,16
P2318,debut participant,初参加者,217
P2675,reply to,返信先,387
P275,copyright license,利用許諾,161241
P8746,check-out time,チェックアウト時間,2495
P87,librettist,台本作家,7358
P1363,points/goal scored by,得点者,2441
P768,electoral district,選挙区,18986
P1068,instruction set,命令セット,448
P358,discography,ディスコグラフィ,11952
P84,architect,設計,75317
P6118,season ends,シーズン終了時期,39
P3985,supports programming language,サポートするプログラミング言語,228
P2667,corresponding template,対応するテンプレート,860
P4733,produced sound,発生音,56
P2505,carries,通るもの,12478
P1057,chromosome,染色体,608710
P2680,author of afterword,あとがきの筆者,99
P5054,cabinet,内閣,5
P744,asteroid family,小惑星族,184
P1080,from narrative universe,登場する架空世界,31385
P1875,represented by,仲介者,8117
P4788,storage device,記憶装置,582
P135,movement,ムーブメント,58648
P9793,setlist,セットリスト,140
P1210,supercharger,スーパーチャージャー,7
P7500,comorbidity,合併症,19
P618,source of energy,エネルギー源,6188
P923,medical examinations,診察,993
P2632,place of detention,収監場所,145141
P2935,connector,コネクタ,788
P1012,including,以下を含める,59
P171,parent taxon,上位タクソン,3600730
P1547,depends on software,依存しているソフトウェア,18192
P5280,radical,部首,2355
P8032,victim,被害者,870
P272,production company,制作会社,119102
P1419,shape,形状,1875
P5824,is retracted by,以下によって撤回,1462
P2416,sports discipline competed in,競技種目,49498
P3828,wears,以下を着用,1752
P5389,permanent resident of,永住権保有国,1288
P4006,overrules,以下の判例を変更,10
P69,educated at,出身校,2269402
P189,location of discovery,発見場所,26285
P3094,develops from,以下から発生,110
P2825,via,経由地,861
P4934,calculated from,以下から算出,578
P2937,parliamentary term,議会開催期,6378
P2828,corporate officer,執行役員,98
P400,platform,プラットフォーム,98555
P4353,nominated by,推薦者,230
P6364,official color,オフィシャル・カラー,3090
P1789,chief operating officer,最高執行責任者,68
P1049,worshipped by,信仰元,2380
P831,parent club,親クラブ,4473
P1881,list of characters,登場人物の一覧,878
P2175,medical condition treated,対象となる医学的状態,6992
P3512,means of locomotion,移動手段,103
P4843,development of anatomical structure,解剖学的構造の発生,160
P3741,seed dispersal,種子の散布方法,9
P2353,statistical unit,統計単位,25
P1571,codomain,終域,76
P972,catalog,カタログ,69086
P3461,designated as terrorist by,テロ組織と認定した国,238
P688,encodes,遺伝子産物,973826
P1898,lowest note,最低音,9
P1592,prosecutor,検察官,426
P5051,towards,方面,64
P200,inflows,流入源,14887
P1924,vaccine for,ワクチンの対象,203
P703,found in taxon,これを持つタクソン,2853804
P5816,state of conservation,保全状態,32936
P4614,drainage basin,分水嶺,79530
P2308,class,クラス,4
P4271,rating,等級,380
P2673,next crossing upstream,上流側の構築物,1587
P1706,together with,以下とともに,72
P1318,proved by,証明した人,125
P2578,studies,研究分野,1954
P812,academic major,大学における専攻,2838
P8058,symbol of,以下の象徴,49
P8764,port calls,寄港地,25
P4584,first appearance,初登場,6985
P1456,list of monuments,記念碑の一覧,20144
P4446,reward program,報奨プログラム,275
P1532,country for sport,代表国,201826
P65,site of astronomical discovery,天文学的発見をした場所,53750
P1809,choreographer,振付師,4208
P522,type of orbit,衛星軌道の種類,1169
P344,director of photography,撮影監督,91536
P2560,GPU,GPU,159
P2319,elector,選挙人,67
P500,exclave of,飛地の本体,130
P407,language of work or name,言語,14800503
P2396,image of function,像,47
P1454,legal form,組織形態,197130
P467,legislated by,制定した立法府,46724
P375,space launch vehicle,打ち上げロケット,6763
P3349,designed to carry,輸送対象,166
P2851,payment types accepted,料金の支払い方法,39226
P7137,acknowledged,謝辞の相手,858
P264,record label,レコード・レーベル,338731
P5102,nature of statement,情報の状況,29
P8625,bibliography,書誌,70
P736,cover art by,装丁家／ジャケットデザイナー,6718
P9071,character type,キャラクターのタイプ,3186
P770,cause of destruction,破壊原因,1380
P1393,proxy,代理人,49
P2821,by-product,副産物,49
P647,drafted by,ドラフト指名したチーム,11790
P531,diplomatic mission sent,在外公館,1710
P8866,has operator,以下の演算を持つ,7
P6338,colorist,カラリスト,1312
P4743,animal breed,家畜の品種,8622
P1313,office held by head of government,行政府の長の地位,62785
P7045,chassis,シャシ,48
P1026,academic thesis,学位論文,11022
P7261,use restriction status,使用制限,415440
P5460,grants,授与する学位・称号,696
P5023,activity policy in this place,利用案内,130
P3161,has grammatical mood,文法的法,109
P78,top-level Internet domain,トップレベルドメイン,344
P4312,camera setup,カメラ・セットアップ,1871
