id,en,es,fr,de
P530,diplomatic relation,relación diplomática,relation diplomatique,diplomatische Beziehung
P47,shares border with,comparte fronteras con,limitrophe de,gemeinsame Grenze mit
P461,opposite of,opuesto a,contraire,Gegenteil von
P460,said to be the same as,se dice que es lo mismo que,réputé identique à,eventuell gleichwertig
P3373,sibling,hermano o hermana,frère ou sœur,Geschwister
P26,spouse,cónyuge,conjoint,Ehepartner(in)
P7047,enemy of,enemigo de,ennemi de,Feind von
P451,unmarried partner,pareja,partenaire,Lebenspartner/-in
P1889,different from,diferente de,à ne pas confondre avec,verschieden von
P3403,coextensive with,mismo territorio que,a le même territoire que,koexistiert mit
P190,twinned administrative body,ciudad hermana,jumelage ou partenariat,Partnerkommune
P2152,antiparticle,antipartícula,antiparticule,Antiteilchen
P155,follows,precedido por,précédé par,Vorgänger
P156,followed by,sucedido por,suivi par,Nachfolger
P1382,partially coincident with,parcialmente coincidente con,coïncide partiellement avec,teilweise übereinstimmend mit
P463,member of,miembro de,membre de,Mitglied von
P4777,has boundary,delimitado por,délimité par,hat als Grenze
P1038,relative,pariente,parentèle,Verwandte
P197,adjacent station,estación adyacente,gare voisine,benachbarte Station
P833,interchange station,estación de intercambio,pôle d'échanges,Umsteigebahnhof
P1365,replaces,reemplaza a,remplace,ersetzt
P974,tributary,afluente,affluent,Nebenfluss
P1366,replaced by,reemplazado por,remplacé par,ersetzt durch
P2789,connects with,se conecta con,se connecte avec,physisch verbunden mit
P131,located in the administrative territorial entity,situado en la entidad territorial administrativa,localisation administrative,liegt in der Verwaltungseinheit
P3342,significant person,persona relevante,personne clé,relevante Person
P2293,genetic association,asociación genética,association génétique,genetische Assoziation mit
P1269,facet of,faceta de,aspect de,Aspekt von
P1000,record held,récord,record détenu,Rekord
P2743,this zoological name is coordinate with,nombre zoológico coordinado por,ce nom zoologique est coordonné avec,zugeordneter zoologische Name
P81,connecting line,línea de ferrocarril,ligne de chemin de fer,Strecke
P1552,has quality,caracterizado por,caractérisé par,charakterisiert durch
P1327,partner in business or sport,en conjunto con,partenaire professionnel ou sportif,Berufs- oder Sportpartner
P399,companion of,compañero de,compagnon de,Begleiter
P361,part of,forma parte de,partie de,ist Teil von
P1560,given name version for other gender,nombre correspondiente en el otro género,prénom correspondant dans le genre grammatical opposé,äquivalenter Vorname für das andere Geschlecht
P1420,taxon synonym,sinónimo taxonómico,synonyme taxinomique,taxonomische Synonyme
P1037,director / manager,gerente/director,dirigeant,Leiter
P169,chief executive officer,director ejecutivo,directeur général,Geschäftsführer
P2579,studied by,estudiado por,discipline dont c'est l'objet,Forschungsthema in
P129,physically interacts with,interactúa físicamente con,interagit physiquement avec,interagiert physikalisch mit
P36,capital,capital,capitale,Hauptstadt
P767,contributor to the creative work or subject,colaborador,collaborateur,Mitarbeiter des Werks
P1322,dual to,dual de,dual de,dual zu
P170,creator,creador,créateur,Urheber
P17,country,país,pays,Staat
P2375,has superpartner,tiene como s-partícula,a comme superpartenaire,hat Superpartner
P8702,parallel street,calle paralela,rue parallèle,Parallelstraße
P279,subclass of,subclase de,sous-classe de,Unterklasse von
P40,child,hijo o hija,enfant,Kind(er)
