id,en,de,fr,es
Q27213,Formula,Formula,Formule,Fórmula
Q232353,Agency,Agency,Agence,Agency
Q1761084,length,Länge,longueur,longitud
Q1910983,wall,Mauer,mur,muro
Q1643175,Committee,Committee,Comité,Comité
Q1409462,fire,Feuer,feu,fuego
Q778214,Bosnia,Bosnia,Bosnie,Bosnia
Q354935,Faculty,Fakultät,Faculté,Facultad
Q1275657,Premiere,Premiere,Première,Premiere
Q2085066,land,Boden,terre,tierra
Q340886,København,Kopenhagen,Copenhague,Copenhague
Q1764651,Monica,Monica,Monica,Mónica
Q338936,Dynamo,Dynamo,Dynamo,Dinamo
Q1672943,Olympic,Olympic,Olympic,Olímpico
Q17322994,load,Last,charge,carga
Q175385,population,Population,Population,Población
Q768396,Programa,Programa,Programme,Programa
Q30093584,field,Feld,champ,campo
Q108557527,construction,Konstruktion,construction,estructura
Q5484627,Francois,François,François,François
Q25839995,talent,Talent,talent,talento
Q295117,Hotel,Hotel,Hôtel,Hotel
Q10861678,order,Ordnung,ordre,orden
Q640404,eye,Auge,œil,ojo
Q260667,Länder,Bundesland,Länder,Bundesland
Q2088403,house,Haus,Maison,casa
Q914681,prime,Prime,prime,prima
Q1781600,Congress,Kongress,Congrès,Congreso
Q2864132,Association,Association,Association,Asociación
Q225197,Bank,Bank,banque,Bank
Q656784,rank,Rang,rang,rango
Q4233803,king,König,roi,rey
Q22214271,Zurich,Zürich,Zurich,Zurich
Q25587250,Fighting,Kampf,combat,lucha
Q304157,Administration,Administration,Administration,Administración
Q1329910,view,Sicht,vue,vista
Q1568233,opposition,Opposition,opposition,oposición
Q2518727,defense,Verteidigung,défense,defensa
Q2917506,series,Serie,série,Serie
Q14457335,Munich,Munich,Munich,Múnich
Q1574285,hand,Hand,main,mano
Q20100946,Leon,Leon,Léon,Leon
Q232576,Service,Service,Service,Servicio
Q1578205,Serbia,Serbien,Serbia,Serbia
Q2369038,Susanna,Susanna,Susanna,Susana
Q189171,Section,Section,Section,Sección
Q191169,center,Zentrum,centre,Centro
Q981211,Sebastian,Sebastian,Sebastian,Sebastián
Q403206,Jardin,Jardin,Jardin,Jardín
Q7831478,track,Track,piste,pista
Q638982,moment,Moment,moment,momento
Q810214,base,Basis,base,base
Q24759380,remain,Pro,rester,permanecer
Q858321,port,Port,port,puerto
Q663143,production,Produktion,Production,producción
Q2672552,Peninsula,Peninsula,Peninsula,Península
