id,label
P1034,main food source
P5008,on focus list of Wikimedia project
P457,foundational text
P8004,ordered by
P7442,glacier status
P532,port of registry
P740,location of formation
P1817,addressee
P1425,ecoregion (WWF)
P122,basic form of government
P58,screenwriter
P5249,sports competition competed at
P1629,Wikidata item of this property
P2876,type of unit for this property
P2597,Gram staining
P9072,derived from organism type
P3085,qualifies for event
P1704,is pollinator of
P8263,curriculum topics
P1716,brand
P3173,offers view on
P4099,metrically compatible typeface
P1465,category for people who died here
P1165,home world
P741,playing hand
P4043,emulates
P5110,has grammatical person
P6889,microarchitecture
P3719,regulated by
P8839,hairstyle
P4646,representation of
P3823,Ethnologue language status
P3772,agonist of
P8652,Netflix maturity rating
P4329,template or module that populates category
P8546,recording location
P3080,game artist
P534,streak color
P4323,young rider classification
P141,IUCN conservation status
P7167,does not have effect
P1951,investor
P1035,honorific suffix
P2554,production designer
P2358,Roman praenomen
P9887,Candomblé nation
P3774,blocker of
P66,ancestral home
P8006,footedness
P2853,electrical plug type
P7163,typically sells
P3275,storyboard artist
P7938,associated electoral district
P786,stipe character
P106,occupation
P636,route of administration
P85,anthem
P2841,age of onset
P1811,list of episodes
P10067,train melody
P631,structural engineer
P9325,Gedong Kirtya Classification
P5588,invasive to
P1158,location of landing
P4608,scenographer
P103,native language
P908,PEGI rating
P5995,kit supplier
P37,official language
P6563,key performance indicator
P1435,heritage designation
P689,afflicts
P568,overlies
P2502,classification of race
P3158,enclosure
P2453,nominee
P3402,CNC film rating (Romania)
P9813,container
P1855,Wikidata property example
P2614,World Heritage criteria
P38,currency
P183,endemic to
P5996,category for films in this language
P163,flag
P5841,Status in the Red List of Threatened Species in the Czech Republic
P4805,make-up artist
P556,crystal system
P6902,era name
P4988,test method
P6948,video system
P2992,software quality assurance
P2438,narrator
P3491,muscle insertion
P282,writing system
P291,place of publication
P2548,strand orientation
P6275,copyright representative
P20,place of death
P3680,statement supported by
P5202,adapted by
P2184,history of topic
P3027,open period from
P411,canonization status
P450,astronaut mission
P2813,house publication
P1455,list of works
P6942,animator
P1414,GUI toolkit or framework
P3712,objective of project or action
P9139,first family name in Portuguese name
P7406,style of karate
P2545,bowling style
P8822,epithet
P3764,pole position
P2361,online service
P6606,study or design for
P5522,Unicode block
P2838,professional name (Japan)
P8339,entry receptor
P5126,assistant director
P9888,NZTCS conservation status
P2882,relegated
P2634,sitter
P2417,stage classification
P1625,has melody
P5096,member of the crew of
P5386,JMA Seismic Intensity Scale
P7228,access restriction status
P2978,wheel arrangement
P5880,video designer
P1990,species kept
P6657,CHVRS Classification
P9972,illustrative content
P6954,online access status
P5438,signum
P136,genre
P452,industry
P4770,hydrated form of
P1462,standards body
P3359,negative prognostic predictor
P4510,describes a project that uses
P449,original broadcaster
P6001,applies to people
P8989,category for the view of the item
P2872,visitor centre
P9086,BAMID film rating
P5800,narrative role
P517,interaction
P8875,indexed in bibliographic review
P7937,form of creative work
P6872,has written for
P1884,hair color
P3018,located in protected area
P483,recorded at studio or venue
P3356,positive diagnostic predictor
P1686,for work
P4241,refine date
P6884,target muscle
P3975,secretary general
P1050,medical condition
P2286,arterial supply
P140,religion or world view
P814,IUCN protected areas category
P59,constellation
P1201,space tug
P8138,located in the statistical territorial entity
P1434,takes place in fictional universe
P8289,parish church
P3912,newspaper format
P1923,participating team
P7867,category for maps
P8933,category for the view from the item
P930,type of electrification
P9344,has graphical element
P1546,motto
P1792,category of associated people
P149,architectural style
P1389,product certification
P3803,original film format
P1656,unveiled by
P509,cause of death
P967,guest of honor
P2925,domain of saint or deity
P3026,closed on
P3081,damaged
P6271,demonym of
P6086,dramaturge
P111,measured physical quantity
P1013,criterion used
P7469,orientation
P4044,therapeutic area
P8646,expansion of
P7561,category for the interior of the item
P8402,open data portal
P1956,takeoff and landing capability
P5998,distributary
P538,fracturing
P8570,front and back matter
P4968,relevant qualification
P784,mushroom cap shape
P680,molecular function
P4443,card network
P35,head of state
P2715,elected in
P6530,has role in modeling
P1677,index case of
P589,point group
P516,powered by
P1142,political ideology
P7095,end grade
P8345,media franchise
P2700,protocol
P1911,increased expression in
P2827,flower color
P9030,solution to
P2962,title of chess person
P9895,Mexican video game rating category
P9241,demographics of topic
P4688,geomorphological unit
P2159,computes solution to
P6533,type of front suspension
P6437,day of regular release
P2568,repealed by
P3216,ClassInd rating
P823,speaker
P4100,parliamentary group
P7376,worn by
P495,country of origin
P1056,product or material produced
P5053,fastest lap
P301,category's main topic
P2758,CNC film rating (France)
P8115,eligible recipient
P2348,time period
P4452,Thibaudeau classification
P3428,INCAA film rating
P3602,candidacy in election
P3818,KMRB film rating
P3610,fare zone
P3033,package management system
P6803,taxon found at location
P6819,calligrapher
P1412,"languages spoken, written or signed"
P3834,RTC film rating
P277,programming language
P1308,officeholder
P750,distributed by
P4147,conjugate acid
P9191,letterer
P453,character role
P787,spore print color
P840,narrative location
P5832,political coalition
P3437,people or cargo transported
P8453,public transport stop
P3103,has tense
P364,original language of film or TV show
P6532,has phenotype
P4324,combination classification
P7253,color produced
P4543,has listed ingredient
P8874,Hong Kong film rating
P5134,evaluation of
P88,commissioned by
P3189,innervated by
P1885,cathedral
P3092,film crew member
P9810,remix of
P427,taxonomic type
P2587,has phoneme
P1423,template has topic
P1011,excluding
P7984,depicted format
P8927,kunya
P4586,type foundry
P5967,reference vocabulary
P1918,altered regulation leads to
P1995,health specialty
P4185,iconographic symbol
P415,radio format
P3833,diaspora
P5872,perfume note
P1204,Wikimedia portal's main topic
P1910,decreased expression in
P4425,mtDNA haplogroup
P3354,positive therapeutic predictor
P654,direction relative to location
P1310,statement disputed by
P1444,destination point
P1678,has vertex figure
P5353,school district
P7174,school class
P4330,contains
P1032,Digital Rights Management system
P803,professorship
P5095,fault
P118,league
P2633,geography of topic
P800,notable work
P1775,follower of
P8824,attraction to
P1606,natural reservoir of
P1264,valid in period
P4774,biological phase
P3739,inflorescence
P27,country of citizenship
P1660,has index case
P3274,content deliverer
P2679,author of foreword
P913,notation
P1909,side effect
P413,position played on team / speciality
P1534,end cause
P2079,fabrication method
P8464,content partnership category
P9664,named place on map
P1605,has natural reservoir
P5052,supervisory board member
P8852,facial hair
P1537,contributing factor of
P6104,maintained by WikiProject
P1072,readable file format
P6099,clinical trial phase
P5425,Han character in this lexeme
P6259,epoch
P9234,supplement to
P8306,has grouping
P9745,translation of
P1211,fuel system
P4195,category for employees of the organization
P2881,promoted
P469,lakes on river
P542,officially opened by
P8739,prohibits
P2318,debut participant
P2637,RARS rating
P4290,official app
P2675,reply to
P3433,biological variant of
P6186,category for eponymous categories
P275,copyright license
P8746,check-out time
P87,librettist
P1078,Valvetrain configuration
P1363,points/goal scored by
P768,electoral district
P1227,astronomical filter
P1060,pathogen transmission process
P1068,instruction set
P358,discography
P84,architect
P3496,teams classification by points
P6118,season ends
P3985,supports programming language
P3357,negative diagnostic predictor
P2667,corresponding template
P8810,parent (unspecified)
P4733,produced sound
P4628,ICTV virus genome composition
P2505,carries
P1057,chromosome
P2680,author of afterword
P5054,cabinet
P744,asteroid family
P1080,from narrative universe
P1875,represented by
P8030,size designation
P4788,storage device
P135,movement
P9793,setlist
P1210,supercharger
P3648,NatureServe conservation status
P1913,gene duplication association with
P3777,antisense inhibitor of
P7500,comorbidity
P618,source of energy
P923,medical examinations
P788,mushroom ecological type
P8107,bus
P2632,place of detention
P2935,connector
P1012,including
P7600,primary note
P4322,best sprinter classification
P171,parent taxon
P9926,template populates category
P1547,depends on software
P5280,radical
P8032,victim
P272,production company
P1419,shape
P5824,is retracted by
P2416,sports discipline competed in
P3828,wears
P6095,INEP IGC discrete grade
P5389,permanent resident of
P4006,overrules
P708,diocese
P1145,Lagrangian point
P69,educated at
P189,location of discovery
P3094,develops from
P944,Code of nomenclature
P2825,via
P4934,calculated from
P2462,member of the deme
P2937,parliamentary term
P2828,corporate officer
P9047,archaeological site of
P1657,MPAA film rating
P400,platform
P4353,nominated by
P690,space group
P3592,Saros cycle of eclipse
P681,cell component
P425,field of this occupation
P2061,aspect ratio (W:H)
P6364,official color
