id1,en1,es1,fr1,de1,id2,en2,es2,fr2,de2
Q527,sky,cielo,ciel,Himmel,Q2,Earth,Tierra,Terre,Erde
Q3,life,vida,vie,Leben,Q4,death,muerte,mort,Tod
Q192630,past,pasado,passé,Vergangenheit,Q344,future,futuro,futur,Zukunft
Q198,war,guerra,guerre,Krieg,Q454,peace,paz,paix,Frieden
Q659,north,norte,nord,Norden,Q667,south,sur,sud,Süden
Q1313,summer,verano,été,Sommer,Q1311,winter,invierno,hiver,Winter
Q3031,girl,niña,fille,Mädchen,Q3010,boy,niño,garçon,Junge
Q7565,father,padre,père,Vater,Q7560,mother,madre,mère,Mutter
Q215627,person,persona,personne,Person,Q8425,society,sociedad,société,Gesellschaft
Q12136,disease,enfermedad,maladie,Krankheit,Q12147,health,salud,santé,Gesundheit
Q23444,white,blanco,blanc,weiß,Q23445,black,negro,noir,Schwarz
Q308194,daughter,hija,fille,Tochter,Q177232,son,hijo,fils,Sohn
Q930412,depth,profundidad,profondeur,Tiefe,Q190200,altitude,altitud,altitude,Höhe
Q344,future,futuro,futur,Zukunft,Q192630,past,pasado,passé,Vergangenheit
Q188830,wife,esposa,épouse,Ehefrau,Q212878,husband,esposo,époux,Ehemann
Q177232,son,hijo,fils,Sohn,Q308194,daughter,hija,fille,Tochter
Q12769393,end,fin,fin,Ende,Q529711,beginning,inicio,début,Anfang
Q10861465,brother,hermano,frère,Bruder,Q595094,sister,hermana,sœur,Schwester
Q21075690,solution,solución,solution,Lösung,Q621184,problem,problema,problème,Problem
Q190200,altitude,altitud,altitude,Höhe,Q930412,depth,profundidad,profondeur,Tiefe
Q595094,sister,hermana,sœur,Schwester,Q10861465,brother,hermano,frère,Bruder
Q50000,victory,victoria,victoire,Sieg,Q11499267,defeat,derrota,défaite,Niederlage
Q529711,beginning,inicio,début,Anfang,Q12769393,end,fin,fin,Ende
Q14565199,right,derecha,droite,rechts,Q13196750,left,izquierda,gauche,links
Q15332375,up,arriba,haut,oben,Q15332388,down,abajo,bas,unten
Q12097,king,rey,roi,König,Q16511993,queen,reina,reine,Königin
Q621184,problem,problema,problème,Problem,Q21075690,solution,solución,solution,Lösung
Q24759450,leave,salir,quitter,Contra,Q24759380,remain,permanecer,rester,Pro
Q28962312,often,frecuentemente,souvent,häufig,Q28962310,rarely,raramente,rarement,kaum
