id,en,ru
Q9597,abdomen,живот
Q19829125,absence,отсутствие
Q1175124,Abu,Абу
Q162633,academy,академия
Q57699905,access,доступ
Q2988681,achievement,достижения
Q846785,action,действие
Q1914636,activity,деятельность
Q33999,actor,актёр
Q21169216,actress,актриса
Q1825128,Adam,Адам
Q206139,Admiral,адмирал
Q2994387,advisor,советник
Q16159116,Africa,Африка
Q79030284,after,после
Q100343219,age,возраст
Q137372,agent,агент
Q1248784,airport,аэропорт
Q4701481,Ako,Ако
Q18916867,Al,Эл
Q57624,ala,ала
Q3503591,Albert,Альберт
Q1572339,Album,Альбом
Q232338,Ale,Але
Q98834352,Aleksandar,Александар
Q24628,Alex,Алекс
Q1345852,Alexander,Александр
Q2643574,Alexandra,Александра
Q19820298,Alexei,Алексей
Q4506471,Ali,Али
Q224306,Alma,Алма
Q10623719,altitude,высота
Q101096049,always,всегда
Q463110,America,Америка
Q478847,Amt,управление
Q436488,AN,Ан
Q224792,Ana,Ана
Q217602,analysis,анализ
Q66459507,and,и
Q501407,Andre,Андре
Q1799221,Andreas,Андрей
Q1373003,Anna,Анна
Q1920566,answer,ответ
Q4067186,Anton,Антон
Q599425,Antonio,Антонио
Q52557710,any,любой
Q166142,application,приложение
Q118,April,апрель
Q12818412,arab,араб
Q42973,architect,архитектор
Q12271,architecture,архитектура
Q56648173,archives,архив
Q414,Argentina,Аргентина
Q735,art,искусство
Q124371,Arthur,Артур
Q191067,article,статья
Q847689,artist,артист
Q2018526,arts,искусства
Q230634,Asia,Азия
Q23835475,assistant,помощник
Q648631,Astana,Астана
Q32289413,Atas,Ата
Q6501338,attention,внимание
Q622645,attitude,установка
Q22126,Aube,Об
Q2870696,Aude,Од
Q338998,August,Август
Q211804,Augustus,август
Q781285,Australia,Австралия
Q40,Austria,Австрия
Q1220968,Author,Автор
Q4825937,authority,власть
Q54835811,average,средний
Q618779,award,награда
Q4058711,Ay,Ай
Q1572530,Azerbaijan,Азербайджан
Q1129404,Ba,Ба
Q647902,Baden,Баден
Q43611274,Baku,Баку
Q838611,ball,шар
Q4851628,ballet,балет
Q22687,bank,банк
Q103510,bar,бар
Q28496610,Barcelona,Барселона
Q165503,baron,барон
Q237749,Bas,Бас
Q12274896,Basil,Василий
Q810447,bass,бас
Q6382533,battalion,батальон
Q39594,bay,залив
Q255654,Bayern,Бавария
Q405491,Baza,База
Q654693,beat,доля
Q16479549,Bee,Би
Q79030196,before,до
Q529711,beginning,начало
Q2515874,behaviour,поведение
Q50098,bel,бел
Q348815,Belarus,Беларусь
Q581832,Belgrade,Белград
Q2614204,Ben,Бен
Q821229,Berlin,Берлин
Q26315367,bet,пари
Q18357801,Between,Между
Q858467,Big,Большой
Q4081574,Bila,Белая
Q228793,Bio,Био
Q5113,bird,птица
Q29182,bishop,епископ
Q8805,bit,бит
Q3532042,block,блок
Q1273495,Bo,Бо
Q3545619,Bob,Боб
Q170494,body,тело
Q56262,Boga,Бога
Q2012440,Bogdan,Богдан
Q4376921,Bonus,Премия
Q892941,Boo,Бу
Q571,book,книга
Q893602,Boris,Борис
Q11812678,bottom,низ
Q875399,boundary,граница
